"","year","subject","disadvantaged","test_source","pass_count","total_count","pass_rate"
"1","2010-2011","Mathematics","N","SOL",447284,489220,91
"2","2010-2011","Mathematics","Y","SOL",217434,279007,77
"3","2011-2012","Mathematics","N","SOL",370783,477360,77
"4","2011-2012","Mathematics","Y","SOL",153520,286598,53
"5","2012-2013","Mathematics","N","SOL",378602,470421,80
"6","2012-2013","Mathematics","Y","SOL",167492,295136,56
"7","2013-2014","Mathematics","N","SOL",384604,462104,83
"8","2013-2014","Mathematics","Y","SOL",183148,299634,61
"9","2014-2015","Mathematics","N","SOL",403941,464646,86
"10","2014-2015","Mathematics","Y","SOL",208075,305666,68
"11","2015-2016","Mathematics","N","SOL",413360,472880,87
"12","2015-2016","Mathematics","Y","SOL",210150,307275,68
"13","2016-2017","Mathematics","N","SOL",414156,476371,86
"14","2016-2017","Mathematics","Y","SOL",208411,309018,67
"15","2017-2018","Mathematics","N","SOL",397358,464269,85
"16","2017-2018","Mathematics","Y","SOL",214535,328542,65
"17","2018-2019","Mathematics","N","SOL",392069,440380,89
"18","2018-2019","Mathematics","Y","SOL",224606,312220,71
"19","2020-2021","Mathematics","N","SOL",196600,295603,66
"20","2020-2021","Mathematics","Y","SOL",75816,210909,35
"21","2021-2022","Mathematics","N","SOL",294060,378777,77
"22","2021-2022","Mathematics","Y","SOL",147508,286410,51
"23","2022-2023","Mathematics","N","SOL",300484,375746,79
"24","2022-2023","Mathematics","Y","SOL",160881,291855,55
"25","2023-2024","Mathematics","N","SOL",303681,375209,80
"26","2023-2024","Mathematics","Y","SOL",169516,291973,58
