"","year","subject","english_learners","test_source","pass_count","total_count","pass_rate"
"1","2010-2011","Mathematics","N","SOL",612839,704529,86
"2","2010-2011","Mathematics","Y","SOL",51879,63698,81
"3","2011-2012","Mathematics","N","SOL",484396,696728,69
"4","2011-2012","Mathematics","Y","SOL",39907,67230,59
"5","2012-2013","Mathematics","N","SOL",507706,700366,72
"6","2012-2013","Mathematics","Y","SOL",38388,65191,58
"7","2013-2014","Mathematics","N","SOL",525687,693472,75
"8","2013-2014","Mathematics","Y","SOL",42065,68266,61
"9","2014-2015","Mathematics","N","SOL",564163,698522,80
"10","2014-2015","Mathematics","Y","SOL",47853,71790,66
"11","2015-2016","Mathematics","N","SOL",574481,705480,81
"12","2015-2016","Mathematics","Y","SOL",49029,74675,65
"13","2016-2017","Mathematics","N","SOL",558286,690317,80
"14","2016-2017","Mathematics","Y","SOL",64281,95072,67
"15","2017-2018","Mathematics","N","SOL",547255,691404,79
"16","2017-2018","Mathematics","Y","SOL",64638,101407,63
"17","2018-2019","Mathematics","N","SOL",547561,654809,83
"18","2018-2019","Mathematics","Y","SOL",69114,97791,70
"19","2020-2021","Mathematics","N","SOL",249136,434730,57
"20","2020-2021","Mathematics","Y","SOL",23280,71782,32
"21","2021-2022","Mathematics","N","SOL",393358,564589,69
"22","2021-2022","Mathematics","Y","SOL",48210,100598,47
"23","2022-2023","Mathematics","N","SOL",406362,560641,72
"24","2022-2023","Mathematics","Y","SOL",55003,106960,51
"25","2023-2024","Mathematics","N","SOL",413554,553960,74
"26","2023-2024","Mathematics","Y","SOL",59643,113222,52
